sample	unit	fq1	fq2
S01_upf1	1	9-LDJ6753_L3_1.fq.gz	9-LDJ6753_L3_2.fq.gz
S02_upf1	1	10-LDJ6754_L3_1.fq.gz	10-LDJ6754_L3_2.fq.gz
S03_upf1	1	11-LDJ6755_L3_1.fq.gz	11-LDJ6755_L3_2.fq.gz
S04_control	1	12-LDJ6756_L3_1.fq.gz	12-LDJ6756_L3_2.fq.gz
S05_control	1	13-LDJ6757_L3_1.fq.gz	13-LDJ6757_L3_2.fq.gz
S06_control	1	14-LDJ6758_L3_1.fq.gz	14-LDJ6758_L3_2.fq.gz
S07_control	1	15-LDJ6759_L3_1.fq.gz	15-LDJ6759_L3_2.fq.gz
S08_control	1	16-LDJ6760_L3_1.fq.gz	16-LDJ6760_L3_2.fq.gz
S09_control	1	17-LDJ6761_L3_1.fq.gz	17-LDJ6761_L3_2.fq.gz
